,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,recent_commit_count,trending
0,whenwords,dbreunig/whenwords,text-formatting,The original ghost library that pioneered the concept relative time formatting (e.g. 3 hours ago).,https://github.com/dbreunig/whenwords,https://github.com/dbreunig/whenwords,MIT,2026-01-08 22:06:38,2026-01-20 17:09:49,2026-01-20 17:09:49,12,80.0,10.0,5.0,2.0,3.0,1292.0,3.0,9,True,1,,
1,ualib,hasansezertasan/ualib,text-formatting,"Parse HTTP User-Agent strings to detect browsers, operating systems, devices, and bots.",https://github.com/hasansezertasan/ualib,https://github.com/hasansezertasan/ualib,MIT,2026-02-09 00:44:09,2026-04-21 16:42:16,2026-04-21 16:42:12,8,,,1.0,,,,,5,True,2,7.0,
2,wheredirs,hasansezertasan/wheredirs,system-tooling,"Resolve standard application directories (config, cache, data, state, logs) across XDG, macOS, and Windows conventions.",https://github.com/hasansezertasan/wheredirs,https://github.com/hasansezertasan/wheredirs,MIT,2026-06-08 12:53:36,2026-06-20 13:12:06,2026-06-20 13:12:03,9,,,1.0,,,,,5,True,1,9.0,4.0
3,reporun,hasansezertasan/reporun,system-tooling,Build standalone executables that pull and run Python projects straight from GitHub at runtime.,https://github.com/hasansezertasan/reporun,https://github.com/hasansezertasan/reporun,MIT,2026-02-10 00:31:32,2026-06-09 15:24:07,2026-06-09 15:24:05,4,,,1.0,,,,,5,True,1,3.0,
4,padlib,hasansezertasan/padlib,text-formatting,"String padding functions (left, right, center, zero pad) a dependency-free answer to the left-pad incident.",https://github.com/hasansezertasan/padlib,https://github.com/hasansezertasan/padlib,MIT,2026-01-31 14:14:28,2026-02-09 00:44:28,2026-02-08 23:45:21,4,,,1.0,,,,,4,True,3,,
5,stdlib,hasansezertasan/stdlib,standard-libraries,"Spec-only standard library spanning 15 domains (strings, collections, numbers, dates, validation, and more).",https://github.com/hasansezertasan/stdlib,https://github.com/hasansezertasan/stdlib,,2026-02-09 01:09:03,2026-06-09 15:24:49,2026-06-09 15:24:46,4,,,1.0,,,,,3,True,1,3.0,
6,cronwords,hasansezertasan/cronwords,text-formatting,Translate cron expressions into human-readable text (e.g. every weekday at 9 AM).,https://github.com/hasansezertasan/cronwords,https://github.com/hasansezertasan/cronwords,MIT,2026-06-15 19:29:02,2026-06-15 19:29:03,2026-06-15 19:29:03,1,,,,,,,,3,True,3,1.0,
